question,expected_ans,predicted_ans,reason,pass_fail,brand,ans_exp_1
"I got a Farmers Call, how do I transfer it?",No Answer Found," Farmers Workplace Solutions (FWS) Misdirected Calls, Chats, and Transfer Information

Farmers Workplace SolutionsThe acquisition was finalized on April 7th, 2021. Immediately after the
acquisition, Farmers began sending welcome letters to all MetLife Auto & Home customers, other than
MyDirect and Commercial policyholders.


Agent Contacts
Agent Calls 


WHO IS CALLING?LINE OF BUSINESS/POLICY TYPESIDENTIFYING CHARACTERISTICS

ACTIONSUGGESTED SCRIPTFarmers Exclusive Agent (Farmers EA) Farmers EA now selling
Foremost Signature in addition to the existing Farmers branded products. Also includes Property &
Casualty Specialists (PCS Agents)Agent360: Auto, Home, Umbrella Could include legacy products
for former PCS agents: Home, Auto, Boat, Motorcycle, Recreational Vehicles (ATV, Snowmobile, Golf
Cart, Dirt Bike, Trail Bike, Mini Bike, Segway and Dune Buggy)
Policies written through the Agent360 system will start with A, H or U followed by 799The agent may
refer to the policy as a Foremost Signature policy
For Agent Service including quotes, endorsements, questions, etc. Provide the number so the Agent can
call in for further assistance (Agent call handling article below chart):
ARC for EA 1-866-539-1315Claims 1-800-854-6011
For EA licensing questions only, contact Farmers Agency Services
1-800-515-6573, Option 1All other calls that are not specifically listed in this box should be directed to

ARC above.
For setting up and maintaining sweep accounts contactFGIA (Farmers General Insurance Agency,
INC.)
1-877-638-0022

Follow prompts for Commissions

""You have reached Farmers Direct Services Team.  We are a customer-facing department.  Please
dial 1-866-539-1315 to reach our FWS Agent Resource Center and they will be able to further assist
you.""Agents (Non-Farmers EA)   Note: Agent may identify themselves as a Mass Mutual

brand : FACT,Bristol_West,Specialty,FIA,Farmers

Title : What phone number should I use to transfer a direct customer for a Farmers Umbrella quote?
Summary : Determine where to transfer a customer that does not have a Farmers or other account
affiliation for a new Farmers Umbrella quote.
HowTo_Objective__c : None
HowTo_Process__c : None
HowTo_InternalComments__c : Transfer the customer to the Farmers Home/Umbrella Referral phone
number listed under Farmers Direct Sales Leads on the Direct Accounts page in SLRG. The system will
ask for the home phone area code to properly route the call.Note: The phone number is labeled as
""Farmers Home - Sales"" in the SRM phone directory.
HowTo_Vendor_Knowledge__c : None
IA_Objective__c : None
IA_Process__c : None
Broker_Knowledge__c : None
Issue_Resolution_Symptom__c : None
Issue_Resolution_Resolution__c : None
Issue_Resolution_Cause__c : None
IA_Issue_Resolution_Symptom__c : None
IA_Issue_Resolution_Resolution__c : None
IA_Issue_Resolution_Cause__c : None
IA_Answer_Guideline__c : None
BI_Other_Guidelines__c : None
Rate_Revision__c : None
Opportunities__c : None
brand : Specialty

in:

Bristol West state specifics: What states does Bristol West write in?If it cannot be quoted by sales,
provide contact information for a local agent so the insured can call during business hours (locate an
agent using https://www.bristolwest.com/find-agent-broker agent finder or utilize: How to Look Up Local
Agents or Brokers

For Phone Requests:
Refer to Bristol West specific resource: How to Handle a Request for New Business
For Non-Phone Requests (such as inbound emails or Contact Us forms):
Advise the client they can locate an agent nearby on https://www.bristolwest.com/find-agent-broker to
request a quote, or they can contact us at 888-327-6335 and we can assist in finding an agent or
contacting the sales team
For Farmers customers calling on a Farmers line:
Review whether the product type and state can be quoted by Farmers Direct Sales:
Did they already begin a quote online?
Farmers use only: How can a customer or agent be helped when they call in about a farmers.com
quote?
Note",Article talks about Farmers workplace solution and LLM is not understanding the different between Farmers and Farmers Workplace Solutions,FAIL,Specialty,"To transfer a Farmers call, you can provide the following number and transfer the insured to 800-FARMERS (800-327-6377) [4]. For claims issues, you can transfer them to Farmers Claims Department - 800-435-7764 [4]."
what to submit to prove insurd in jail?,"Letter from the courts
Find out what county, google search county jail records"," Acceptable Proof of Incarceration 

 A copy of the official Inmate Locator Report from the 
Bureau of Prisons website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state",Answer is repeating multiple times and doesn't mention that a letter from the court. Instead its focusing on the jail records and repeating.,FAIL,Bristol West,Proof of incarceration can include a letter from the courts [1]. You can also google search county jail records [1].
How do I create a letter of experience loss history letter?,"Non-Rush Requests:
	Direct / Fulfilment / Agency policies: Send a Universal Change Request in SRM following the steps below. Expected processing is to be completed within 4 business days. 
1.	Click on the Forms dropdown menu, upper right corner of SR. 
2.	Select Specialty Universal Change Request. 
3.	Select Loss History Letter in the Type of Request field.
4.	Select the Requester Type. 
5.	Select the appropriate destination in the Send Output To field.
6.	Select the format in the Delivery Method field.
7.	Include the recipient's first name or company name and number of years requested in the Comments/Special instructions.
8.	Click Save.
9.	Refer SR.
	Scheduled property policies: Submit a request for Loss History using the Specialty Schedules Request form in SRM
1.	Click on the Forms dropdown menu, upper right corner of SR.
2.	Select Specialty Schedules Request.
3.	Select the corresponding product code from the Select a Product dropdown.
4.	From Select Transaction, select Request Documents.
5.	In the Fax or Email field, list the fax or email address the loss history is to be sent to.
6.	From the Requested Document dropdown, select Loss History
7.	In the Comments/Special Instructions field, indicate recipient's first name or company name and number of years requested
8.	Click Save
9.	Note the SR
10.	Refer the SR. Do not close.

Requests on Multiple Policies:
	If Exclusive Agent, the notations can be placed on each policy individually and one Universal request. submitted can include all of the policy numbers that need to be requested.
	If Independent Agent, a new SR would need to be created per policy with the Universal request submitted for each.

Rush Requests: 
1.	Retrieve claims information.
	See How to Look Up Foremost Claims
	Only retrieve claims information back 5 years for property and 3 years for casualty as that is what is utilized in loss history letters
2.	Create loss history letter.
a.	From the 360 View within the SR, click Links.
b.	Under Links click ABL Application.
c.	Choose the appropriate group: 
	For agent policies: Select FL Letter.   
	For direct customers: Select Direct Support.
d.	Click Request View and a dropdown will appear.
e.	In the dropdown choose the appropriate form:
	For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
	For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
	For AARP direct customers: Choose one of the forms from AARP 3 through 8.
f.	Fill out all the boxes manually. 
	NOTE: Even for redbox letters, the entire letter must be filled out as the data scraping function only happens for ABLs being sent out by mail using the Submit button
i.	Enter agent name or insured name:  The recipient. 
ii.	Enter mailing address. (Optional if the letter is being faxed or emailed.)
iii.	Enter the insured's name (or declaration name).  Check the declaration page then add the location address as:  'ADDR(-) street address, city only.  ***Note: Do not key in the state & zip.
o	Example: John Smith ADDR-123 got it, Farmers World
o	Note: For Motorcycle & Boat policies, only put the policy number, do not key in a location or the bike/boat information.
iv.	Enter Policy Number.
v.	Enter Company Name. How to Find the Company Name for a Policy
vi.	Enter a Product type.  ***This field is not available on FL 140 or FL140A for Loss History with Claims.
o	Specialty Dwelling
o	Mobile Home
o	Off Road Vehicle
o	Motorcycle
o	Motorhome
o	Travel Trailer
o	Marine
o	Personal Watercraft
vii.	Enter the original inception date of the policy 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
viii.	Enter the Policy Expiration or Cancellation date 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
ix.	Enter the time frame in years (one, two, three, four or five).
o	For Property, go back a maximum of five years
o	For Casualty, go back a maximum of three years
o	Round up to whole years.  If the policy has been active six months, use one year.  If one year two months, use two years, etc.
o	Type out the words.  ***Do not use numerals
	Example: one, two, three, four or five. 
x.	Enter claim date (xx/xx/xxxx)
xi.	Enter Loss Type/Amount paid (Enter $0 if zero paid)  Ex: Wind / $123
o	Note:  If a claim has been withdrawn or denied, it would not be a valid claim.  Do not list it on the loss history / letter of experience.
xii.	Enter claims status (Closed, Open etc.)
b.	Click Preview to generate the copy of the letter that can be sent.  It can be sent by fax or saved as a PDF and sent by email in SRM.
i.	Send a copy of the letter to imaging at fax number 616-956-4412 or email to: usw.fic.imagingabp@foremost.com  - (Include the SR# in the subject line, and in the body of the email include the policy number and customer's name).
c.	Note the SR with which letter type was sent and where it was sent.
"," To create a letter of experience loss history letter, follow these steps:

1. Retrieve claims information. 
-Claims can only be retrieved 5 years back for property and 3 years for casualty. 
2. Create loss history letter.
3. From the 360 View within the SR, click Links. 
4. Under Links click ABL Application.
5. Choose the appropriate group.
- For agent policies: Select FL Letter. 
- For direct customers: Select Direct Support.
6. Click Request View and a dropdown will appear.
7. In the dropdown choose the appropriate form:
- For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
- For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
- For AARP direct customers: Choose one of the forms from AARP 3 through 8.
8. Fill out all the boxes manually.
9. Enter agent name or insured name: The recipient. 
10. Enter mailing address. (Optional if the letter is being faxed or emailed.)
11. Enter the insured's name (or declaration name). 
12. Check the declaration page then add the location address as: 'ADDR(-) street address, city only. 
***Note: Do not key in the state & zip.
Example: John Smith ADDR-123 got it, Farmers World
13. Enter Policy Number.
14. Enter Company Name. 
15. Enter a Product type. 
***This field is not available on FL 140 or FL140A for Loss History with Claims.
16. Enter the original inception date of the policy
***This field is not available on FL 140 or FL 140A for Loss History with Claims
17. Select the Company name from the drop down menu. 
18. If there are not losses, proceed to 'Step 17""
19. Enter the date of 1st loss.
20. Enter the 'type' of loss and the 'amount' of the loss as examples:
Fire/$5,000.00
For no payout, enter 'amount' as: '0.00'
21. Enter the status of the loss 'Closed' or 'Open'
22. Continue to enter loss Type, amount, and status for each additional loss.
23. Enter the 'product type' (i.e.: Specialty Dwelling, Mobile Home, etc.
24. Enter the 'effective date' as of the new business date.
25. Enter the ' expiration date' as the expiration of the current term. 
26. Enter the time frame in years; (one, two, three, four, or five) round up.
27. Enter the Agent code
28. Click 'preview' to generate the copy of the letter
29. Send copy of letter to Imaging at fax number 616-956-4412 or email to imaging@foremost.com. Make",Providing answer from two different articles kaD4T000000PP0WUAW and kaD4T0000004aBUUAY which appears to be creating a mixed result.,FAIL,Specialty,"To create a letter of experience loss history letter, you can follow the steps below:
1. Search ForemostSTAR for claims associated with the policy
2. Include the date of loss, type of loss, amount and status in the following formats: (Example) Date of 1st loss mm-dd-yyyy, Type/Amount of 1st loss Wind/$123.45, Status of 1st loss Closed
3. Enter the claim date (xx/xx/xxxx)
4. Enter Loss Type/Amount paid (Enter $0 if zero paid) [2]"
How do I resolve the error First Driver Must be NI,"In AS400:
1.	Input a 3 in selection field and then enter the policy number and current MOD number.
2.	 F11 to find the LCD in Amendment History (can also be found in PSP under Amendment History).
	Make a note of the LCD.
3.	F12 back to Main Menu, input 2 and then input LCD in the Effective Date spot. Enter.
	The / must be used for the date mm/dd/yy
4.	Input 1 on the Basic Contract Screen.
5.	Input the first letter of the last name and Enter.
	AS400 cursor should already be on this spot.
6.	Input LCD for Endorsement Date and Enter.
7.	Input ""N"" for Endorsement Fee.
	We will NEVER charge a fee.
8.	F12 back to Main Menu, input 4 and Enter.
	Policy number and MOD number are still the same, but NO effective date.
9.	Input 1 on Driver Screen and Enter.
10.	Input 2 on first driver (this should be the PNI for the policy).
	Driver Relation to Insured should be I as this makes them the PNI for the policy.
11.	Enter and then F12 twice. 
12.	Input 1 on Policy Level Rating Screen, R on Hold Rate Indicator, Enter and then F12.  
13.	F9 to Rate.
14.	F12 to Main Menu.
15.	Input 9 for Comment and then F6 for New Comment:
	Reason is PC
	Comment: Working all errors, cleared FIRST DRIVER MUST BE NI, released renewal, ratebook ___
"," To resolve the error 'First Driver Must be NI', 

1. Enter 4 in selection field, input policy number (NO MCO # is needed), Enter. 
2. Go to Driver Information Screen, use 1, and select Enter
3. Place a 2 beside the first driver.
4. Review if the driver is listed as S,C, or O (Spouse, Child, Other).
5. Repeat for each driver to find which caused the error.
6. If there are married drivers on the policy, there needs to be an even number of couples.
7. The PNI always needs to be reflected as I for Insured.
8. Example: 4 drivers listed and all are married. The PNI is marked as I and their spouse should be marked as S. The other couples should be marked as S
9. Note: If unsure as to who is be married to who, email the agent for clarification.
10. Update the remaining drivers listed that are not married and not a child of the PNI to ""O"".
11. F7 (or F12) back to the Error Correction and Verification screen, input 1 on Policy Level Rating screen and select Enter. 
12. Place an R on the Hold Rate Indicator, select Enter and then F12. 
13. F9 to rate. 
14. Input a 1 on the Policy Level Rating screen and select Enter.
15. Verify the Ratebook letter near the bottom left-hand corner.
16. F12 to the Main Menu, enter a 9 on the selection field for Comments and select Enter. 
17. F6 to add comment: Worked All Errors; cleared Relationship to Spouse, released renewal, Ratebook ___ (whatever letter was in Policy Level) 
18. Enter the same comments into SRM that are in AS400 and then close SR.
19. Note: If the SR needs to be returned to PSO, refer to the ""FSA-All Errors Advanced"" queue.",Missing Content in Load,Missing Content in Load,Farmers Specialty Auto,"To clear the error First Driver Must be NI, you can input 1 on the Policy Level Rating Screen, R on Hold Rate Indicator, Enter and then F12 [1, 2]. You can also input 9 for Comment and then F6 for New Comment: Reason is PC Comment: Working all errors, cleared FIRST DRIVER MUST BE NI, released renewal, ratebook [1, 2]."
How do I process a cancellation from an incoming communication?,"INCOMING CORRESPONDENCES
	Process the cancellation request as long as all information listed within the Cancellation procedure has been provided, making sure the name on the request matches the named insured on the policy. 
	Effective date of cancellation (Written Correspondence) - Use requested future date (limited to 30 days in the future from postmark date if in current term / no limit for renewals that have generated but not yet taken effect), if indicated on the letter, or date after postmark (for letters).  Use day after fax or email.  For verbal requests, see the following:
o	What changes require a signed request from the named insured?  
o	How to handle an insured's request to cancel their personal auto policy
	If the insured has written the request to cancel on a 21st Century renewal bill or a 21st Century renewal declaration page (and no specific date is requested), cancel the effective date of the renewal term. 
	When in doubt, make an outbound call to confirm the date with the insured.
	Comment on every cancellation how the request was received and how the effective date was determined. 
	For written requests, send the letter, fax or a printed copy of the email to Image for potential future reference.  NOTE: Send envelopes with work for quality only if the postmark was used to determine effective date.
o	If the Policyholder is requesting to backdate the cancellation request, we will need a Declaration Page, Proof of Insurance letter (must be on company letterhead and contain information similar to Dec), ID Card(s), or Binder in order to complete the request. 
o	Documentation must show the Named Insured(s) and vehicle(s) listed on our policy as being insured on the date that corresponds to the cancellation effective date being requested. 
o	If the request is missing info (Dec Page, POI letter, ID Card, or Binder), place an outbound call to obtain. 
	If contact is made, add a diary comment with missing information and process.  The only exception to this is a missing signature.  In this case, a revised request is required. 
	If no contact is made, add a diary comment what is needed and the effective date of cancellation. 
	Example Comment: ""Received customers request to back date cancellation effective xx/xx/xxxx, all information requested was provided, imaged request.""
	Check the policy comments to see if there is another issued for this customer in the same state or another state.  If a multi-car discount has been applied to the policy that is remaining in force, (this would only apply if it is a single vehicle policy) this discount must now be deleted. 
o	The customer should receive a call to advise them of the premium change due to the deletion of the multi-car discount. 
"," Process the cancellation request as long as all information listed within the Cancellation procedure has been provided, making sure the name on the request matches the named insured on the policy. Effective date of cancellation (Written Correspondence) - Use requested future date (limited to 30 days in the future from postmark date if in current term / no limit for renewals that have generated but not yet taken effect), if indicated on the letter, or date after postmark (for letters). Use day after fax or email. For verbal requests, see the following:What changes require a signed request from the named insured? How to handle an insured's request to cancel their personal auto policyIf the insured has written the request to cancel on a 21st Century renewal bill or a 21st Century renewal declaration page (and no specific date is requested), cancel the effective date of the renewalterm.When in doubt, make an outbound call to confirm the date with the insured.Comment on every cancellation how the request was received and how the effective date was determined. For written requests, send the letter, fax or a printed copy of the email to Image for potential future reference. NOTE: Send envelopes with work for quality only if the postmark was used to determine effective date.If the Policyholder is requesting to backdate the cancellation request, we will need a Declaration Page, Proof of Insurance letter (must be on company letterhead and contain information similar to Dec), ID Card(s), or Binder in order to complete the request. Documentation must show the Named Insured(s) and vehicle(s) listed on our policy as being insured on the date that corresponds to the cancellation effective date being requested. If the request is missing info (Dec Page, POI letter, ID Card, or Binder), place an outbound call to obtain.If contact is made, add a diary comment with missing information and process. The only exception to this is a missing signature. In this case, a revised request is required. If no contact is made, add a diary comment what is needed and the effective date of cancellation.
",Missing two bullet points. One is a sample comment the other is to check policy comments to remove the multi-car discount.,Partial Pass,Farmers HI,"To process a cancellation from an incoming communication, you must make sure that all information listed within the Cancellation procedure has been provided [1]. You also need to make sure that the name on the request matches the named insured on the policy [1]."
What are the Call Closing steps?,"Recap call and actions taken
Submit endorsement(s).
Agent360 
Perform closing
Document ARS Notes and BE Screen  as necessa
Complete SR status."," The Call Closing steps are as follows: 
1. Recap call and actions taken which includes changes made, commitments, billing and provide updated billing installments.
2. Agent360 - Make sure to remind customers of on-line benefits. If needed, walk through the process to help the customer create an on-line account.
3. Perform closing.
4. Before closing the call / chat, ask from the suggested options:
Did I effectively answer your question(s) today?Have I resolved your issue?
5. If an answer is not successful, ask probing questions to uncover need and work to resolve until answer is successful.
6. Once answer is successful:
Thank the caller/chatter and ask if caller/chatter would like a reference number for their call.
If yes, provide SR# to caller.
7. Document ARS Notes and BE Screen  as necessary.
8. Agent360
Document Agent Portal/Policy Center or in Billing Center if billing related documents are required.
For NB Submissions, able to document on Account Level since policy is not issued yet.
9. Note: All ARC Calls/Chats are required to be documented in ARS Notes or 360 Guidewire, Billing
Center and/or Agent Portal notes in the appropriate system.
10. Complete SR status.",Missing point about submitting endorsement. This point is not specific to closing steps but is part of the overal process being outlined.,Partial Pass,FWS,"Before closing the call, ask from the suggested options: â€œDid I effectively answer your question(s) today?â€•â€œHave I resolved your issue?â€• If yes, thank the caller/chatter and ask if caller/chatter would like a reference number for their call [1]. If an answer is not successful, ask probing questions to uncover need and work to resolve until answer is successful [1]."
What is the ARS document retention procedure?,"This procedure outlines the necessary action steps required when sending documents to be processed, tracked, or for retention purposes only, and replaces any former Microfilm processes.   "," The ARS document retention procedure is as follows:

- Send an Outlook email with the attached forms to Dayton_Corro_Other@farmersinsurance.com, or one of the following mailboxes: cpu.dayt.cancels, Dayton_Corro_Other, usw_dayton_expressit, Dayton_Payroll_Deduct, mah_asfax_triad, usw_trexo_frpt_bir, usw_FRPT_Cancel_Spoil, usw_FRPT_Retail_Group, MPC_Dayt_PII, MPC_Dayton_Reocurring_CC, MPC_Dayton_UM, Texas Mold.

- Renewals, endorsements, and canceled, expired, and/or nonrenewed policies. The number of files reviewed in each file review will be based on the size and performance of the agency.
- If a customer does not sign/return the document in Agent360, the system will create a contingency that can be found on the home page when signed into the system.
- If an agent does not respond or does not pass the initial audit, they are re-audited within twelve months. If the agent does not respond or does not pass again, a no new business edit will be placed.",Answer is pulling data from kaD4T000000HKQ9UAO and kaD4T000000XbkHUAS which is causing a conflict. One is referencing the document retention process and the other is document retention audit.  Two different items,FAIL,FWS,"The ARS document retention procedure outlines the necessary steps for sending documents to be processed, tracked, or for retention purposes only [1]. Agents/agencies that have received approval from Farmers to maintain policy related documentation at their sites must produce these documents in a timely manner if requested by Claims, Underwriting, Rating, Compliance, or other reasons [2]."
What do I do with an appetite call/chat for Manufacturing BOP?,Transfer Call to Underwriter / Not enough information to Answer," For BOP Eligibility

NOT A MARKET While Farmers offers an array of insurance products to meet the needs of a wide
spectrum of businesses, no two businesses are alike and these products will not be available for every
type of operation.If you have questions about the content found in our appetite resources, please call our
Service Center at 1-877-411-4BIZ (4249).Appetite resources reflect if a particular type of operation is one
we would consider writing. Whether or not the specific risk in question qualifies for coverage is always
subject to the underwriting rules specified within the 'Business' product pages of the Agency Dashboard
and/or the underwriting policies and procedures currently in place in your state.


Back to Top

Commercial Auto Eligibility

SIC Code: All SICs SIC Name: All SICs
Classification Name: All Manufacturing Classifications
Business Description:Auto Eligibility: All Manufacturing SIC Operations.
Eligible Operations:
Most automobiles used in conjunction with a business.
Ineligible Operations:
For-hire Trucking OperationsACV/Cost-New exceeding $200,000Antique, Classic or Collector Vehicles
over 25 yearsRadius - Over 500 miles ineligible; Over 200 miles incidentalVehicles used in special
eventsRisks involved in hydraulic fracturing (fracking)Vehicles used to haul hazardous cargo including
toxic, explosives, and radiation exposuresRisks hauling oversized/overweight loadsSpecialty use vehicles
including cement mixers, transit mixers, cement pump trucks, boom pumpersLiquid tank trucks that are

",Did not find article and was unable to answer,Fail,Commercial,"If you have questions about the content found in our appetite resources, please call our Service Center at 1-877-411-4BIZ (4249) [4]."
Can I cancel a Foremost policy by Chat?,Any variations of yes," Yes, First and Second named insureds or individuals with control, including additional named insureds, POAs and EOEs are allowed to verbally cancel any product in any state (Except Delaware). 
Louisiana Special Process: The state of Louisiana requires a written request to be documented as part of the policy record. 
Delaware Special Process: For Motorcycle and Motor Home policies being cancelled by insured request, Chat cancellations are not acceptable. The insured must complete the Delaware Cancellation Affidavit (Form 8146) in place of a Chat request, and it must be returned to Foremost. 
Washington Special Process: A specific Chat cancellation script is not required, a clear request to cancel a policy can be received without specific formatting or phrasing. 
Chat Cancellations may be done without additional documentation for Property and Casualty Products within 30 of the cancel request date (number of days applies when backdating only). When counting back the days, do not include the current day in the calculation. 
Once the the 30-day time frame has passed, Advocates can still send the Chat cancellation script and collect a Yes answer, but appropriate supporting documents need to be received. 
",Missing several notes and an important bullet point.  ,Partial Pass,Specialty,"Yes, you can cancel a Foremost policy by chat without additional documentation for Property and Casualty Products within 30 days of the cancel request date [1, 2]. You can also verbally cancel a policy without additional documentation [2]. However, you must complete the Delaware Cancellation Affidavit (Form 8146) in place of a chat request [1]."
How do I stop pay a refund check?,"1.	Log into Green Screens using Accounting Sign On 
2.	From the Main Menu in Green Screens choose the option 18 or 19 for CDJ main menu.
3.	Select option 1 Premium Journal Entry Screen.
4.	Enter Processing Office code:
	07 - All FIA policies and East Coast States except those listed below
	01 -  All FACT policies and West Coast States
	40 - If moving TO or FROM Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, or Pennsylvania
	44 - If moving TO or FROM Connecticut, Massachusetts, New Jersey, New York, or North Carolina
5.	Enter the following information in the top section
	Last Name
	Amount (amount of check being stopped)
	Received Date (today's date)
	Company (B for FAB)
o	If the refund was issued from standard billing, please check the Company Code provided on the refund check. It will either be 1, 5, or 6 
6.	Enter the following information under Journal Debit
	St (state code)
o	What are the state, office and processing codes by individual state?
	Policy (billing account number the check was issued from)
	Off (office code)
	Jrnl Code (07 for stop pay)
	Account (87 for refund checks)
	Check No (of the refund check you are stopping)
	87 A/C Tran Tp (SP for stop pay)
7.	Enter the following information under Journal Credit
	St (state code)
	Policy (billing account number)
	Off (office code)
	Jrnl Code (00)
	Account (79 to reapply to FAB account)
8.	F2 twice to submit
9.	F3 twice to exit to the CDJ Main Menu
10.	Choose the option (02) for Premium Refund Entry Screen and enter the same Processing Office you used in Step 4. 
11.	Enter the following information in the top half of the screen
	Co (B)
o	If the refund was issued from standard billing, please select the Company Code provided on the refund check. It will either be 1, 5, or 6
	St (state code)
	Plcy (billing account number you applied the credit to)
	Amt
	Company Name (N if the refund is being reissued to the customer)
	PSC KOC (2-Customers or 7-Agent)
	Acct (79)
o	If the refund was moved to the 81 holding account, please select 81 as the account. 
	Mail Type (D for direct (most refunds), R for referred for refunds over $1,999.00)
	Reason
o	F4 on the reason line and select applicable option; if ""Other"" fill in the blank line with the reason
12.	Enter the name as it appears on the billing account.
	See Account Maintenance/Change Pay Plan and click on Account Information
	If there are 2 names listed then both need to be included on the check
	For deceased insured/executor of estate situations, please see: How to Issue a Refund in the Estate of a Deceased Insured
13.	Enter the address the refund needs to be reissued to
14.	F2 to submit; Follow prompts and use F6 to override name/address if necessary
"," To stop pay a refund check, follow these steps:

1. In Green Screens, choose option 18 or 19 for CDJ main menu. 
2. From there, select option 1 Premium Journal Entry Screen. 
3. In ""Processing Office,"" enter 01 for West accounts or 07 for East accounts.
4. Enter the following information in the top section: 
     - Last Name
     - Amount
     - Received Date (Today's Date)
     - Company (b for FAB)
5. Enter the following information under Journal Debit: 
     - State Code
     - Policy (Billing Account Number)
     - Office Code (corresponding to the state code)
     - JRNL Code (07 for stop pay)
     - Account (87 for refund checks)
     - Check No (of the refund check you are stopping)
     - 87 A/C Tran Tp (SP for stop pay)
6. Enter the following information under Journal Credit: 
     - State Code
     - Policy (billing account number) 
     - Office Code (corresponding to the state code)
     - JRNL Code (07)
     - Account (79 to reapply to FAB account)
7. Press F2 to submit. 
8. Press F3 to exit to the CDJ Main Menu.",Combining multiple articles together and consolidating points as a result.  Missing key points in 7 and 8 in that you have to press F2 twice and F3 twice.,Fail,Farmers,"To stop pay a refund check, you can use the Green Screens [4]. You will need the policy, office, journal code, account, check number, and journal credit information [1, 4]. You can also use BillingHub [3]."
