question,expected_ans,predicted_ans,article_id,matched_articles,pass_fail,reason,brand,ans_exp_5,cited_new,matched_article_new
what to submit to prove insurd in jail?,"Letter from the courts
Find out what county, google search county jail records"," Acceptable Proof of Incarceration 

 A copy of the official Inmate Locator Report from the 
Bureau of Prisons website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state prison website. 
 A copy of the official Inmate Locator Report from the 
federal prison website. 
 A copy of the official Inmate Locator Report from the 
city jail website. 
 A copy of the official Inmate Locator Report from the 
county jail website. 
 A copy of the official Inmate Locator Report from the 
state",kaD1L000000L4nUUAS,kaD1L000000L4nUUAS,Fail,Creative Answer; Article does not have note section. Also LLM added additional context to each points ,Bristol West,foobar,"[('kaD1L000000L4nUUAS', 1.0), ('kaD4T000000CnvwUAC', 1.0), ('kaD4T000000Co7cUAC', 0.5)]","[('kaD4T000000CnvwUAC', 2.75), ('kaD4T000000CnuAUAS', 1.25), ('kaD4T000000Xo3jUAC', 1.25), ('kaD1L000000L4nUUAS', 1.0), ('kaD1L000000Q2RJUA0', 1.0)]"
How do I create a letter of experience loss history letter?,"Non-Rush Requests:
	Direct / Fulfilment / Agency policies: Send a Universal Change Request in SRM following the steps below. Expected processing is to be completed within 4 business days. 
1.	Click on the Forms dropdown menu, upper right corner of SR. 
2.	Select Specialty Universal Change Request. 
3.	Select Loss History Letter in the Type of Request field.
4.	Select the Requester Type. 
5.	Select the appropriate destination in the Send Output To field.
6.	Select the format in the Delivery Method field.
7.	Include the recipient's first name or company name and number of years requested in the Comments/Special instructions.
8.	Click Save.
9.	Refer SR.
	Scheduled property policies: Submit a request for Loss History using the Specialty Schedules Request form in SRM
1.	Click on the Forms dropdown menu, upper right corner of SR.
2.	Select Specialty Schedules Request.
3.	Select the corresponding product code from the Select a Product dropdown.
4.	From Select Transaction, select Request Documents.
5.	In the Fax or Email field, list the fax or email address the loss history is to be sent to.
6.	From the Requested Document dropdown, select Loss History
7.	In the Comments/Special Instructions field, indicate recipient's first name or company name and number of years requested
8.	Click Save
9.	Note the SR
10.	Refer the SR. Do not close.

Requests on Multiple Policies:
	If Exclusive Agent, the notations can be placed on each policy individually and one Universal request. submitted can include all of the policy numbers that need to be requested.
	If Independent Agent, a new SR would need to be created per policy with the Universal request submitted for each.

Rush Requests: 
1.	Retrieve claims information.
	See How to Look Up Foremost Claims
	Only retrieve claims information back 5 years for property and 3 years for casualty as that is what is utilized in loss history letters
2.	Create loss history letter.
a.	From the 360 View within the SR, click Links.
b.	Under Links click ABL Application.
c.	Choose the appropriate group: 
	For agent policies: Select FL Letter.   
	For direct customers: Select Direct Support.
d.	Click Request View and a dropdown will appear.
e.	In the dropdown choose the appropriate form:
	For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
	For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
	For AARP direct customers: Choose one of the forms from AARP 3 through 8.
f.	Fill out all the boxes manually. 
	NOTE: Even for redbox letters, the entire letter must be filled out as the data scraping function only happens for ABLs being sent out by mail using the Submit button
i.	Enter agent name or insured name:  The recipient. 
ii.	Enter mailing address. (Optional if the letter is being faxed or emailed.)
iii.	Enter the insured's name (or declaration name).  Check the declaration page then add the location address as:  'ADDR(-) street address, city only.  ***Note: Do not key in the state & zip.
o	Example: John Smith ADDR-123 got it, Farmers World
o	Note: For Motorcycle & Boat policies, only put the policy number, do not key in a location or the bike/boat information.
iv.	Enter Policy Number.
v.	Enter Company Name. How to Find the Company Name for a Policy
vi.	Enter a Product type.  ***This field is not available on FL 140 or FL140A for Loss History with Claims.
o	Specialty Dwelling
o	Mobile Home
o	Off Road Vehicle
o	Motorcycle
o	Motorhome
o	Travel Trailer
o	Marine
o	Personal Watercraft
vii.	Enter the original inception date of the policy 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
viii.	Enter the Policy Expiration or Cancellation date 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
ix.	Enter the time frame in years (one, two, three, four or five).
o	For Property, go back a maximum of five years
o	For Casualty, go back a maximum of three years
o	Round up to whole years.  If the policy has been active six months, use one year.  If one year two months, use two years, etc.
o	Type out the words.  ***Do not use numerals
	Example: one, two, three, four or five. 
x.	Enter claim date (xx/xx/xxxx)
xi.	Enter Loss Type/Amount paid (Enter $0 if zero paid)  Ex: Wind / $123
o	Note:  If a claim has been withdrawn or denied, it would not be a valid claim.  Do not list it on the loss history / letter of experience.
xii.	Enter claims status (Closed, Open etc.)
b.	Click Preview to generate the copy of the letter that can be sent.  It can be sent by fax or saved as a PDF and sent by email in SRM.
i.	Send a copy of the letter to imaging at fax number 616-956-4412 or email to: usw.fic.imagingabp@foremost.com  - (Include the SR# in the subject line, and in the body of the email include the policy number and customer's name).
c.	Note the SR with which letter type was sent and where it was sent.
"," To create a letter of experience loss history letter, follow these steps:

1. Retrieve claims information. 
-Claims can only be retrieved 5 years back for property and 3 years for casualty. 
2. Create loss history letter.
3. From the 360 View within the SR, click Links. 
4. Under Links click ABL Application.
5. Choose the appropriate group.
- For agent policies: Select FL Letter. 
- For direct customers: Select Direct Support.
6. Click Request View and a dropdown will appear.
7. In the dropdown choose the appropriate form:
- For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
- For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
- For AARP direct customers: Choose one of the forms from AARP 3 through 8.
8. Fill out all the boxes manually.
9. Enter agent name or insured name: The recipient. 
10. Enter mailing address. (Optional if the letter is being faxed or emailed.)
11. Enter the insured's name (or declaration name). 
12. Check the declaration page then add the location address as: 'ADDR(-) street address, city only. 
***Note: Do not key in the state & zip.
Example: John Smith ADDR-123 got it, Farmers World
13. Enter Policy Number.
14. Enter Company Name. 
15. Enter a Product type. 
***This field is not available on FL 140 or FL140A for Loss History with Claims.
16. Enter the original inception date of the policy
***This field is not available on FL 140 or FL 140A for Loss History with Claims
17. Select the Company name from the drop down menu. 
18. If there are not losses, proceed to 'Step 17""
19. Enter the date of 1st loss.
20. Enter the 'type' of loss and the 'amount' of the loss as examples:
Fire/$5,000.00
For no payout, enter 'amount' as: '0.00'
21. Enter the status of the loss 'Closed' or 'Open'
22. Continue to enter loss Type, amount, and status for each additional loss.
23. Enter the 'product type' (i.e.: Specialty Dwelling, Mobile Home, etc.
24. Enter the 'effective date' as of the new business date.
25. Enter the ' expiration date' as the expiration of the current term. 
26. Enter the time frame in years; (one, two, three, four, or five) round up.
27. Enter the Agent code
28. Click 'preview' to generate the copy of the letter
29. Send copy of letter to Imaging at fax number 616-956-4412 or email to imaging@foremost.com. Make",kaD4T000000PP0WUAW,kaD4T0000004aBUUAY,Fail,"Wrong summarization within Article; Skipped most of the points. Also failed to fetch generic article , instead picked article which talks about PSO process to create loss history letter",Specialty,foobar,"[('kaD4T0000004aBUUAY', 1.0), ('kaD4T000000PP0WUAW', 0.5)]","[('kaD4T0000004aBUUAY', 4.0), ('kaD4T000000PP0WUAW', 3.5), ('kaD4T000000XlSvUAK', 1.4166666666666665), ('kaD1L000000CisoUAC', 1.1833333333333333), ('kaD4T0000008ykGUAQ', 1.0666666666666667)]"
How do I resolve the error First Driver Must be NI,"In AS400:
1.	Input a 3 in selection field and then enter the policy number and current MOD number.
2.	 F11 to find the LCD in Amendment History (can also be found in PSP under Amendment History).
	Make a note of the LCD.
3.	F12 back to Main Menu, input 2 and then input LCD in the Effective Date spot. Enter.
	The / must be used for the date mm/dd/yy
4.	Input 1 on the Basic Contract Screen.
5.	Input the first letter of the last name and Enter.
	AS400 cursor should already be on this spot.
6.	Input LCD for Endorsement Date and Enter.
7.	Input ""N"" for Endorsement Fee.
	We will NEVER charge a fee.
8.	F12 back to Main Menu, input 4 and Enter.
	Policy number and MOD number are still the same, but NO effective date.
9.	Input 1 on Driver Screen and Enter.
10.	Input 2 on first driver (this should be the PNI for the policy).
	Driver Relation to Insured should be I as this makes them the PNI for the policy.
11.	Enter and then F12 twice. 
12.	Input 1 on Policy Level Rating Screen, R on Hold Rate Indicator, Enter and then F12.  
13.	F9 to Rate.
14.	F12 to Main Menu.
15.	Input 9 for Comment and then F6 for New Comment:
	Reason is PC
	Comment: Working all errors, cleared FIRST DRIVER MUST BE NI, released renewal, ratebook ___
"," To resolve the error 'First Driver Must be NI', 

1. Enter 4 in selection field, input policy number (NO MCO # is needed), Enter. 
2. Go to Driver Information Screen, use 1, and select Enter
3. Place a 2 beside the first driver.
4. Review if the driver is listed as S,C, or O (Spouse, Child, Other).
5. Repeat for each driver to find which caused the error.
6. If there are married drivers on the policy, there needs to be an even number of couples.
7. The PNI always needs to be reflected as I for Insured.
8. Example: 4 drivers listed and all are married. The PNI is marked as I and their spouse should be marked as S. The other couples should be marked as S
9. Note: If unsure as to who is be married to who, email the agent for clarification.
10. Update the remaining drivers listed that are not married and not a child of the PNI to ""O"".
11. F7 (or F12) back to the Error Correction and Verification screen, input 1 on Policy Level Rating screen and select Enter. 
12. Place an R on the Hold Rate Indicator, select Enter and then F12. 
13. F9 to rate. 
14. Input a 1 on the Policy Level Rating screen and select Enter.
15. Verify the Ratebook letter near the bottom left-hand corner.
16. F12 to the Main Menu, enter a 9 on the selection field for Comments and select Enter. 
17. F6 to add comment: Worked All Errors; cleared Relationship to Spouse, released renewal, Ratebook ___ (whatever letter was in Policy Level) 
18. Enter the same comments into SRM that are in AS400 and then close SR.
19. Note: If the SR needs to be returned to PSO, refer to the ""FSA-All Errors Advanced"" queue.",kaD4T000000TNI8UAO,,Fail,Unable to find Target Article; Not sure where the ans is coming from,Farmers Specialty Auto,foobar,"[('kaD4T000000TNI9UAO', 1.0), ('kaD4T000000TNI8UAO', 1.0)]","[('kaD4T000000TNI8UAO', 4.0), ('kaD4T000000TNI9UAO', 3.5), ('kaD4T000000TNILUA4', 1.6666666666666665), ('kaD4T000000TNDpUAO', 0.7), ('kaD4T0000004QzcUAE', 0.7)]"
How do I process a cancellation from an incoming communication?,"INCOMING CORRESPONDENCES
	Process the cancellation request as long as all information listed within the Cancellation procedure has been provided, making sure the name on the request matches the named insured on the policy. 
	Effective date of cancellation (Written Correspondence) - Use requested future date (limited to 30 days in the future from postmark date if in current term / no limit for renewals that have generated but not yet taken effect), if indicated on the letter, or date after postmark (for letters).  Use day after fax or email.  For verbal requests, see the following:
o	What changes require a signed request from the named insured?  
o	How to handle an insured's request to cancel their personal auto policy
	If the insured has written the request to cancel on a 21st Century renewal bill or a 21st Century renewal declaration page (and no specific date is requested), cancel the effective date of the renewal term. 
	When in doubt, make an outbound call to confirm the date with the insured.
	Comment on every cancellation how the request was received and how the effective date was determined. 
	For written requests, send the letter, fax or a printed copy of the email to Image for potential future reference.  NOTE: Send envelopes with work for quality only if the postmark was used to determine effective date.
o	If the Policyholder is requesting to backdate the cancellation request, we will need a Declaration Page, Proof of Insurance letter (must be on company letterhead and contain information similar to Dec), ID Card(s), or Binder in order to complete the request. 
o	Documentation must show the Named Insured(s) and vehicle(s) listed on our policy as being insured on the date that corresponds to the cancellation effective date being requested. 
o	If the request is missing info (Dec Page, POI letter, ID Card, or Binder), place an outbound call to obtain. 
	If contact is made, add a diary comment with missing information and process.  The only exception to this is a missing signature.  In this case, a revised request is required. 
	If no contact is made, add a diary comment what is needed and the effective date of cancellation. 
	Example Comment: ""Received customers request to back date cancellation effective xx/xx/xxxx, all information requested was provided, imaged request.""
	Check the policy comments to see if there is another issued for this customer in the same state or another state.  If a multi-car discount has been applied to the policy that is remaining in force, (this would only apply if it is a single vehicle policy) this discount must now be deleted. 
o	The customer should receive a call to advise them of the premium change due to the deletion of the multi-car discount. 
"," Process the cancellation request as long as all information listed within the Cancellation procedure has been provided, making sure the name on the request matches the named insured on the policy. Effective date of cancellation (Written Correspondence) - Use requested future date (limited to 30 days in the future from postmark date if in current term / no limit for renewals that have generated but not yet taken effect), if indicated on the letter, or date after postmark (for letters). Use day after fax or email. For verbal requests, see the following:What changes require a signed request from the named insured? How to handle an insured's request to cancel their personal auto policyIf the insured has written the request to cancel on a 21st Century renewal bill or a 21st Century renewal declaration page (and no specific date is requested), cancel the effective date of the renewalterm.When in doubt, make an outbound call to confirm the date with the insured.Comment on every cancellation how the request was received and how the effective date was determined. For written requests, send the letter, fax or a printed copy of the email to Image for potential future reference. NOTE: Send envelopes with work for quality only if the postmark was used to determine effective date.If the Policyholder is requesting to backdate the cancellation request, we will need a Declaration Page, Proof of Insurance letter (must be on company letterhead and contain information similar to Dec), ID Card(s), or Binder in order to complete the request. Documentation must show the Named Insured(s) and vehicle(s) listed on our policy as being insured on the date that corresponds to the cancellation effective date being requested. If the request is missing info (Dec Page, POI letter, ID Card, or Binder), place an outbound call to obtain.If contact is made, add a diary comment with missing information and process. The only exception to this is a missing signature. In this case, a revised request is required. If no contact is made, add a diary comment what is needed and the effective date of cancellation.
",kaD4T000000H3YpUAK,kaD4T000000H3YpUAK,Fail,Incomplete Answer; Skipped points,Farmers HI,foobar,"[('kaD4T000000H3YpUAK', 3.5), ('kaD4T000000TNfAUAW', 1.5), ('kaD4T000000HDOzUAO', 0.3333333333333333), ('kaD4T000000HDP4UAO', 0.25)]","[('kaD4T000000H3YpUAK', 4.0), ('kaD4T000000TNfAUAW', 3.0), ('kaD4T000000HDOzUAO', 1.833333333333333), ('kaD4T000000HDP4UAO', 0.7), ('kaD4T000000HDPTUA4', 0.5833333333333333)]"
What are the Call Closing steps?,"Recap call and actions taken
Submit endorsement(s).
Agent360 
Perform closing
Document ARS Notes and BE Screen  as necessa
Complete SR status."," The Call Closing steps are as follows: 
1. Recap call and actions taken which includes changes made, commitments, billing and provide updated billing installments.
2. Agent360 - Make sure to remind customers of on-line benefits. If needed, walk through the process to help the customer create an on-line account.
3. Perform closing.
4. Before closing the call / chat, ask from the suggested options:
Did I effectively answer your question(s) today?Have I resolved your issue?
5. If an answer is not successful, ask probing questions to uncover need and work to resolve until answer is successful.
6. Once answer is successful:
Thank the caller/chatter and ask if caller/chatter would like a reference number for their call.
If yes, provide SR# to caller.
7. Document ARS Notes and BE Screen  as necessary.
8. Agent360
Document Agent Portal/Policy Center or in Billing Center if billing related documents are required.
For NB Submissions, able to document on Account Level since policy is not issued yet.
9. Note: All ARC Calls/Chats are required to be documented in ARS Notes or 360 Guidewire, Billing
Center and/or Agent Portal notes in the appropriate system.
10. Complete SR status.",kaD4T000000Xn5AUAS,kaD4T000000Xn5AUAS,Fail,Incomplete Answer; Skipped most of the points. ,FWS,foobar,"[('kaD4T000000Xn5AUAS', 4.0)]","[('kaD4T000000Xn5AUAS', 4.0), ('kaD4T000000XdRTUA0', 2.0), ('kaD4T000000Xk18UAC', 1.0833333333333333), ('kaD4T000000Xf8sUAC', 0.8666666666666667), ('kaD4T000000XaJyUAK', 0.45)]"
What is the ARS document retention procedure?,"This procedure outlines the necessary action steps required when sending documents to be processed, tracked, or for retention purposes only, and replaces any former Microfilm processes.   "," The ARS document retention procedure is as follows:

- Send an Outlook email with the attached forms to Dayton_Corro_Other@farmersinsurance.com, or one of the following mailboxes: cpu.dayt.cancels, Dayton_Corro_Other, usw_dayton_expressit, Dayton_Payroll_Deduct, mah_asfax_triad, usw_trexo_frpt_bir, usw_FRPT_Cancel_Spoil, usw_FRPT_Retail_Group, MPC_Dayt_PII, MPC_Dayton_Reocurring_CC, MPC_Dayton_UM, Texas Mold.

- Renewals, endorsements, and canceled, expired, and/or nonrenewed policies. The number of files reviewed in each file review will be based on the size and performance of the agency.
- If a customer does not sign/return the document in Agent360, the system will create a contingency that can be found on the home page when signed into the system.
- If an agent does not respond or does not pass the initial audit, they are re-audited within twelve months. If the agent does not respond or does not pass again, a no new business edit will be placed.",kaD4T000000HKQ9UAO,"kaD4T000000HKQ9UAO
kaD4T000000HFhpUAG",Fail,Unable to find Target Article; kaD4T000000HFhpUAG used. Answer is there for Program and not for procedure,FWS,foobar,"[('kaD4T000000HKQ9UAO', 1.0), ('kaD4T000000HFhpUAG', 0.5), ('kaD4T000000XbkHUAS', 0.5), ('kaD4T000000XjPiUAK', 0.2), ('kaD4T000000bp4KUAQ', 0.2)]","[('kaD4T000000TPYzUAO', 2.0), ('kaD4T000000HKQ9UAO', 1.6666666666666665), ('kaD4T000000bsjLUAQ', 1.0), ('kaD4T000000PLpoUAG', 1.0), ('kaD4T000000H6BpUAK', 0.9166666666666665)]"
What do I do with an appetite call/chat for Manufacturing BOP?,Transfer Call to Underwriter / Not enough information to Answer," For BOP Eligibility

NOT A MARKET While Farmers offers an array of insurance products to meet the needs of a wide
spectrum of businesses, no two businesses are alike and these products will not be available for every
type of operation.If you have questions about the content found in our appetite resources, please call our
Service Center at 1-877-411-4BIZ (4249).Appetite resources reflect if a particular type of operation is one
we would consider writing. Whether or not the specific risk in question qualifies for coverage is always
subject to the underwriting rules specified within the 'Business' product pages of the Agency Dashboard
and/or the underwriting policies and procedures currently in place in your state.


Back to Top

Commercial Auto Eligibility

SIC Code: All SICs SIC Name: All SICs
Classification Name: All Manufacturing Classifications
Business Description:Auto Eligibility: All Manufacturing SIC Operations.
Eligible Operations:
Most automobiles used in conjunction with a business.
Ineligible Operations:
For-hire Trucking OperationsACV/Cost-New exceeding $200,000Antique, Classic or Collector Vehicles
over 25 yearsRadius - Over 500 miles ineligible; Over 200 miles incidentalVehicles used in special
eventsRisks involved in hydraulic fracturing (fracking)Vehicles used to haul hazardous cargo including
toxic, explosives, and radiation exposuresRisks hauling oversized/overweight loadsSpecialty use vehicles
including cement mixers, transit mixers, cement pump trucks, boom pumpersLiquid tank trucks that are

",kaD4T000000PP8LUAW,kaD4T0000004TZrUAM,Fail,Wrong Article for Summarization; Wrong information for the question,Commercial,foobar,"[('kaD4T0000004TZrUAM', 0.25)]","[('kaD4T000000PP8LUAW', 5.0), ('kaD4T0000000Iu6UAE', 1.5), ('kaD4T0000004TZrUAM', 1.4499999999999997), ('kaD4T0000000ImlUAE', 0.7833333333333333), ('kaD4T000000XnykUAC', 0.7)]"
Can I cancel a Foremost policy by Chat?,Any variations of yes," Yes, First and Second named insureds or individuals with control, including additional named insureds, POAs and EOEs are allowed to verbally cancel any product in any state (Except Delaware). 
Louisiana Special Process: The state of Louisiana requires a written request to be documented as part of the policy record. 
Delaware Special Process: For Motorcycle and Motor Home policies being cancelled by insured request, Chat cancellations are not acceptable. The insured must complete the Delaware Cancellation Affidavit (Form 8146) in place of a Chat request, and it must be returned to Foremost. 
Washington Special Process: A specific Chat cancellation script is not required, a clear request to cancel a policy can be received without specific formatting or phrasing. 
Chat Cancellations may be done without additional documentation for Property and Casualty Products within 30 of the cancel request date (number of days applies when backdating only). When counting back the days, do not include the current day in the calculation. 
Once the the 30-day time frame has passed, Advocates can still send the Chat cancellation script and collect a Yes answer, but appropriate supporting documents need to be received. 
",kaD4T000000XbrhUAC,"kaD4T000000XbrhUAC
kaD4T000000XbiGUAS",Fail,"Wrong summarization within Article; Info provided under ""**After 30 days of the cancel request date:**"" is wrong. Article does not state that",Specialty,foobar,"[('kaD4T000000XbrhUAC', 2.0), ('kaD4T000000XbiGUAS', 1.5), ('kaD4T000000PPL5UAO', 0.5), ('kaD4T000000XnffUAC', 0.3333333333333333), ('kaD4T000000XauQUAS', 0.2)]","[('kaD4T000000XbiGUAS', 4.5), ('kaD4T000000XbrhUAC', 2.75), ('kaD4T000000XnffUAC', 1.6666666666666665), ('kaD4T000000bvo0UAA', 0.95), ('kaD4T000000PPL5UAO', 0.5)]"
How do I stop pay a refund check?,"1.	Log into Green Screens using Accounting Sign On 
2.	From the Main Menu in Green Screens choose the option 18 or 19 for CDJ main menu.
3.	Select option 1 Premium Journal Entry Screen.
4.	Enter Processing Office code:
	07 - All FIA policies and East Coast States except those listed below
	01 -  All FACT policies and West Coast States
	40 - If moving TO or FROM Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, or Pennsylvania
	44 - If moving TO or FROM Connecticut, Massachusetts, New Jersey, New York, or North Carolina
5.	Enter the following information in the top section
	Last Name
	Amount (amount of check being stopped)
	Received Date (today's date)
	Company (B for FAB)
o	If the refund was issued from standard billing, please check the Company Code provided on the refund check. It will either be 1, 5, or 6 
6.	Enter the following information under Journal Debit
	St (state code)
o	What are the state, office and processing codes by individual state?
	Policy (billing account number the check was issued from)
	Off (office code)
	Jrnl Code (07 for stop pay)
	Account (87 for refund checks)
	Check No (of the refund check you are stopping)
	87 A/C Tran Tp (SP for stop pay)
7.	Enter the following information under Journal Credit
	St (state code)
	Policy (billing account number)
	Off (office code)
	Jrnl Code (00)
	Account (79 to reapply to FAB account)
8.	F2 twice to submit
9.	F3 twice to exit to the CDJ Main Menu
10.	Choose the option (02) for Premium Refund Entry Screen and enter the same Processing Office you used in Step 4. 
11.	Enter the following information in the top half of the screen
	Co (B)
o	If the refund was issued from standard billing, please select the Company Code provided on the refund check. It will either be 1, 5, or 6
	St (state code)
	Plcy (billing account number you applied the credit to)
	Amt
	Company Name (N if the refund is being reissued to the customer)
	PSC KOC (2-Customers or 7-Agent)
	Acct (79)
o	If the refund was moved to the 81 holding account, please select 81 as the account. 
	Mail Type (D for direct (most refunds), R for referred for refunds over $1,999.00)
	Reason
o	F4 on the reason line and select applicable option; if ""Other"" fill in the blank line with the reason
12.	Enter the name as it appears on the billing account.
	See Account Maintenance/Change Pay Plan and click on Account Information
	If there are 2 names listed then both need to be included on the check
	For deceased insured/executor of estate situations, please see: How to Issue a Refund in the Estate of a Deceased Insured
13.	Enter the address the refund needs to be reissued to
14.	F2 to submit; Follow prompts and use F6 to override name/address if necessary
"," To stop pay a refund check, follow these steps:

1. In Green Screens, choose option 18 or 19 for CDJ main menu. 
2. From there, select option 1 Premium Journal Entry Screen. 
3. In ""Processing Office,"" enter 01 for West accounts or 07 for East accounts.
4. Enter the following information in the top section: 
     - Last Name
     - Amount
     - Received Date (Today's Date)
     - Company (b for FAB)
5. Enter the following information under Journal Debit: 
     - State Code
     - Policy (Billing Account Number)
     - Office Code (corresponding to the state code)
     - JRNL Code (07 for stop pay)
     - Account (87 for refund checks)
     - Check No (of the refund check you are stopping)
     - 87 A/C Tran Tp (SP for stop pay)
6. Enter the following information under Journal Credit: 
     - State Code
     - Policy (billing account number) 
     - Office Code (corresponding to the state code)
     - JRNL Code (07)
     - Account (79 to reapply to FAB account)
7. Press F2 to submit. 
8. Press F3 to exit to the CDJ Main Menu.",kaD4T0000004b2wUAA,"kaD4T000000XldHUAS
kaD4T000000PIleUAG",Fail,Unable to find Target Article; Article talks about stop pay in billing Hub. It would be partial pass if it had presented all the info without skipping points in between. Also included informattion from diff article,Farmers,foobar,"[('kaD4T000000XldHUAS', 2.6666666666666665), ('kaD4T0000004b2wUAA', 0.5), ('kaD4T000000PIleUAG', 0.25), ('kaD4T000000XlruUAC', 0.2)]","[('kaD4T000000XldHUAS', 3.6666666666666665), ('kaD4T0000008qckUAA', 2.5833333333333335), ('kaD4T0000004b2wUAA', 2.3333333333333335), ('kaD4T000000PJlzUAG', 0.75), ('kaD4T000000XkcQUAS', 0.6000000000000001)]"
What is the process for policy retention  ?,"Retention Steps: Always try to save the policy whenever possible
Ask the customer if their policy can be reviewed for savings:
Rent vs. Own
Vehicle Discounts
Operator Assignment
Deductibles
Note: Review coverages as appropriate
Save any changes made up to this point.  Be sure to comment the retention effort and savings, if any, that were obtained."," Evaluate the risk to determine whether the policy should be retained by taking the below steps:
Review policy
Review accident/loss history.
Review payment history.
If rates increased, determine reason for increase (recent accident/violation, underwriting change (add a youthful, etc).
Verify accuracy of information that caused the increase.
Do not attempt to actively retain if any of the below criteria are met:
Policy has 3 or more comp/not at fault losses with us in the past 12 months.
Policy has 2 or more return payments in the term (exclude credit card exp date and/or company/system errors).
Policy has 2 or more reinstatements in the past 12 months.
Review comments to confirm if there is an adverse/unresolved underwriting issue (i.e. open SIU, open fraudulent investigation).
Pursue follow up for unresolved underwriting issue.
",kaD4T000000HDUEUA4,"kaD4T000000H6NlUAK
kaD4T000000HDUEUA4",Fail,Appears to be combining data from multiple articles.; nan,Farmers HI,foobar,"[('kaD4T000000H6NlUAK', 2.0), ('kaD4T000000HDUEUA4', 1.0), ('kaD4T000000POH7UAO', 0.5), ('kaD4T000000PMrlUAG', 0.3333333333333333)]","[('kaD4T000000H6NlUAK', 5.0), ('kaD4T000000HDUEUA4', 2.25), ('kaD4T000000CnwCUAS', 0.5833333333333333), ('kaD4T000000HDP9UAO', 0.5833333333333333), ('kaD4T000000POH7UAO', 0.5)]"
